               E1 ,                E2
    60532.1357412 ,      18311.964253
     269.39464883 ,     367.326398665
    384.873342368 ,     1300.15315285
    94.5184601312 ,     5655.30325387
    3539.38968605 ,     14.0711483939
     55.616676576 ,     283.904518886
    5106.13454629 ,     403.147277301
    8258.27030068 ,     15889.7679297
    51712.3644602 ,     15282.8002788
    12436.4480627 ,     12351.4838951
    783.728620405 ,     4861.63871774
    7988.19374908 ,     4935.04024106
     5568.0502429 ,     9575.26343539
    16882.1720109 ,     4595.14145561
    13715.7511733 ,     2731.88890785
    13671.3068166 ,     9698.77512855
    24973.3913578 ,     5725.63998198
    41359.3179921 ,     35485.8935225
    8861.00745522 ,     131.458894775
    1409.13144608 ,     2767.38871456
    2932.31401723 ,     1863.69516453
    844.723345682 ,     8737.97713558
    802.525755966 ,     5807.84482107
    22753.1844388 ,     8012.51687487
    4780.55676606 ,     1189.10344529
    60217.7327944 ,     50.7333818249
    6321.81659381 ,     17879.8432362
    26768.1087814 ,      9946.5949399
    19054.3744398 ,      21377.174614
     105.72915767 ,     150.209720868
    13125.2891772 ,     3905.07983925
    1339.50195438 ,     5332.45754461
    29559.3734316 ,     116.687950226
    8539.07960615 ,     2849.85356345
    51233.5018954 ,     3313.69696989
    824.369069594 ,     139.892653185
    6847.46392677 ,     573.452423726
    15794.1055432 ,     58.5828852926
    13943.1434322 ,     3934.82965333
    21088.3250363 ,     260.613526928
    6879.95234001 ,      14.852039995
    12.4870561603 ,     1.52514755626
    35606.8469408 ,     4896.27346816
    729.286988807 ,     938.769900053
    553.924961257 ,     203.145729639
    6176.10025239 ,      4131.2093752
    49077.1008836 ,     9523.84095497
    22130.4890921 ,     213.372317077
    5252.05359719 ,     10314.2047683
    3738.22856444 ,     1032.12865509
    994.553630026 ,     2985.85315866
    1559.26598996 ,     1232.28337476
    4009.34061296 ,     38.3498133005
    831.095809956 ,     1795.49971116
     4802.1526642 ,     2800.75818238
    206.761392947 ,     71.7904737862
    47.8200940222 ,     1469.91472722
    14190.8838248 ,       9885.072562
   0.739722339781 ,     2989.02802079
    54430.3280756 ,     8936.37645702
    81.9035914191 ,     5426.44454832
    1467.99544398 ,      17098.199795
    20165.1539663 ,     321.886167589
     1360.7579453 ,     3207.28511521
    115.336388537 ,     17.0622265191
